Description,Commenting,Ogling,Groping
guy contin stalk stare women pass obscen comment,0,1,0
abus harassmentwhen came douala first time school first day soon student discov bamenda took mockeryal time class stood answer question would alway sayquot sit bamendaquot alway walk around class alway mock say quotca ce en bamendaquot peopl someth person bamenda like sit quietthat bamenda peopl know anyth,0,0,0
way home drunk man push back,0,0,1
travel bus aunt two unknown person touch us unnecessarili knew feel uncomfort still give,0,0,1
veri common thing,0,0,0
stalk stranger go coach,0,0,0
return home micro bus full time one middl age man touch thigh,0,0,1
chain snatch touch grope,0,0,1
sing song come school said not ok happen near hous,1,0,0
ogl facial express comment,0,0,0
step build guy whisper someth befor realis pass stop path turn around look back reaction not let ruin day,1,0,0
receiv vulgar comment travel metro,1,0,0
go outsid visit place boy commmenton us abt appreenc dressesthey also whistleson evn group boy comment lot useless thing n folleow meboy stare felt uncomfort,0,0,0
teacher josphat touch anoth girl privat part,0,0,1
peopl offer lift way colleg even deni use follow,0,0,0
kali templ lucknow cop took advantag crowd kept touch girl less yrs old inappropri due crowd realis immedi soon realis continu press breast,0,0,1
crowd local train man kept touch throughout journey got last station whisper comment ear went away,1,0,1
take pictur amp comment,1,0,0
class eight girl bought sweet told remov cloth man bought sweet refus man rape,0,0,0
due poor light abl catch peopl tri grope butt,0,0,1
person travel share auto tri touch,0,0,1
travel dtc bus use travel everyday boy board bus brj puri bus stop one start stare contin stare veri irrit got irrit decid also start stare soon start stare give tough look becam conscious got bus,0,1,0
got toi market makina stage way man accident knock forehead use elbow sorri said fine follow held waist still tell sorri told ok iremov hand waist held waist hold tighter struggl pull walk away quick,0,0,1
friend harass boss reput compani kiss forc without,1,1,1
happen famili step father abus physic year,0,0,0
girl deepli depress becaus boy school use teas obes person stand fact tri commit suicid counsel well,0,0,0
travel girl friend bus halt somewher min break roam take pictur sudden man expos bodi start wave toward us embarrass move ahead month date locat approxim,0,0,0
n sister return home boy start teas us littl drunk n smoke ciggrat boy start take pictur follow us escap run veri fast,0,0,0
continu sexual invit travel happen dure afternoon,0,0,0
snatch chain near mandir,0,0,0
man ask possibl go told not time,0,0,0
alon home religi teacher show crotch,0,0,0
morn druggi start touch inappropri made veri uncomfort,0,0,1
guy touch girl back make use crowd platform train arrivalit happen thane station platform,0,1,1
stalk villag th februari ( day time ),0,0,0
girl harass famili didnt support friend made complaint nearest polic station,0,1,0
group men stand comment everi girl pass,1,0,0
way go meet women dc alight bus stop groupm men seat road side invit ladi go nad greet ladi ignor start insult,1,0,0
vulgar facial express,1,1,0
stalk comment,1,0,0
househelp use sodomis form boy whose parent work away home whenev everyon hous boy would come back hous sex hous help yet parent thought school took intervent teacher ask parent whi nolong come school concern neighbour househelp reveal save situat,0,0,0
friend walk school along darajani group men sit pole start call us mock dress mode laughingw felt reallybad,1,0,0
public vehicl man grab finger scari chang seat,0,0,1
comment touch grope amp bad facial express ( dtc bus ),1,1,1
survey carri safec ( red dot foundat ) along safeti audit street market mumbai,0,0,1
afternoon pm,0,0,0
stand line metro got attack boy tri push touch,0,0,1
new place shift go find good near shop teas comment druggist scare call brother warn druggist,1,0,0
walk back home guy come toward bicycl touch breast went away scare embarrass time,1,0,1
school carniv men tri spank even though teacher around femal not stand male friend stood one almost got beaten made sure men left campus,1,1,1
guy teas comment girl,1,0,0
touch,0,1,1
rob gunpoint three peopl,0,0,0
friend go anoth friend home,0,0,0
teenag girl go toward metro station car caam near boy sit insid open window gaze toward veri ackward manner said quotlet goquot,1,0,1
girl walk hair clutch two boy came bike pull clutch back,0,0,1
group boy threw flower comment indec walk ahead,1,0,0
public vehicl baneshwor fren one guy tri touch hand tri avoid first keep tri touch speak ignor chang place felt veri embarrass,0,0,1
suffer common cold went clinic way doctor uncl treat unusu,0,0,1
man took advantag conjest start touch ladi could not avoid due multitud,0,0,1
went afternoon boy comment happen dure afternoon report polic respons,1,1,0
harass,0,0,0
two guy tri kiss molest parti,0,0,1
one friend work oil compani biratnagar live alon work pm return boy follow till roomsh feel insecur walk alon particular way chang way room,0,0,0
alon home man came place mother domest help hous inquir mother told not home come back even told meet start touch wrong start cri went away mother came back home told told taken rupe whi man came home even start threaten mom return money get marri mother without think got marri rape everi night scare anyth,0,0,0
survey carri safec ( red dot foundat ) along safec audit street market mumbai,1,1,0
men comment walk,1,0,0
local bus one boy tri touch belli shout,1,0,1
girl kiss guy gunpoint front three policemen anythingit happen even main road,0,0,0
friend group walk road boy came speedi bike tri snatch chain friend pull away,0,0,0
incid took place night main marketfour friend two differ carson ofth friend shot friend sit carpolic alreadi,0,0,0
go colleg andheri east group boy sit whistl,1,0,0
year came across incid young girl year old rape abandon near bushreason drank boy bear promis date boy lateron not,0,0,1
ogl weird facial express,0,1,0
incid happen even roam friend,1,1,0
walk small lane cross two streetsa man bike came behind touch back sped away within secondsi notic bike numberh shave headdidn wear ani cap,0,0,1
man grope breast enter train,0,0,1
dure morn went shop mother call filthi name guy,1,0,0
women harass catcal whistl tirumurthi nagar nungambakkam chennai tamil nadu india,0,0,0
comment catcal chainsnatch,1,0,0
harass take place everywher becaus delhi not safeit happen even,1,1,0
comment amp take pictur girl came offic,1,0,0
seen ladi cri becaus chain snatch incid happen jj coloni uttam nagar,0,0,0
incid took place less month ago dure even metro stationa person metro attempt touch privat part behav accident hit,1,0,1
dure even indec exposur,0,0,0
take ticket counter line boy tri grope butt,0,0,1
realli bad,1,1,0
got molest random guy,0,0,0
man stare make uncomfort year old,0,1,0
boy follow,0,0,0
peopl made vulgar remark,1,0,0
open wire hiranandani kensington wing near octavius lobbi realli danger anyon,0,0,0
chain snatch even uttam nagar east metro station,0,0,0
proper rule regul bulli rag onc becom victim sexual harrais stude grade,0,1,0
central secretariat one see lot crowd board board metro one friend deboard felt somebodi tri touch lower back,0,0,1
sunday go church one boy came close touch buttock shout asham ran away,0,0,1
market famili man actual grope breast,0,0,1
incid took place night around pm outram lane near kingsway campm friend return activ classw scooti group boy car make video soon friend notic took turn street,0,0,0
not toler,1,0,0
catcal whistl take pictur comment indec activ,1,1,0
auto guy see alon auto took wrong rout say shortcut later shout said call policeh took right way,1,0,1
get back home sunday market saw girl harass men whistl pass lewd comment approach girl told speak said everyday affair one learn ignor especi women,0,1,0
group boy comment even stare colleg canteen area,0,1,0
block way go car,1,0,0
comment,1,0,0
old men around darajani area like give school girl money way school,0,0,0
share auto last stop onli guy left suddeni start ask person question said kiss befor could react ran away,1,1,0
guy tri touch also comment,0,0,1
man tri touch thigh turn around slap,0,0,1
comment catcal whistl,1,0,0
buspark one man follow throught balaju veri rought alwa catch hand told not touch said want howev went parent tell incid parent react punish,0,0,1
chain snatch night,0,0,0
man sex daughter sinc tender age yearsthi man caught th decemb sex daughter upon enquiri girl age rang year confess go year old,0,0,0
physic abus bus educ person dure even time,1,0,1
come back tuition boy tri touch veri bda manner,0,0,1
usual even friend guy ( rowdi ) come along road start comment girl abus,1,1,0
return tution class street boy start follow ran not stoop chase way home,0,0,0
incid took place rajiv chowk metro station eveningit happen time metro reach stationmost men misus movement touch privat part,1,1,1
still villag electr ex patrapada bhubhneshwar pleas take appropri action first rather work digit india,0,0,0
call quotchamak challoquot afternoon,0,0,0
pass men start call tell im beauti,1,0,0
saw man teas tri close ladi insid public bus,1,0,1
leav guy stalk till took auto left place,0,0,0
grope boy money,0,0,1
friend go colleg ogl men day doe not make eye contact,0,1,0
one boy public bus gave bad look,0,1,0
comment,1,0,0
one day teacher told us prayer day bring peopl per student parti boy class told day shake,0,0,0
woman rape laini saba never taken hospit,0,0,0
return home school follow boy made scare,0,0,0
man fallow pass comment,1,1,0
touch man insid bus,0,0,1
harass,1,1,0
stand outsid colleg bunch cheapster sit front us whistl comment,1,0,0
happen friend day moharram near mosqu man much older tri touch inappropri,0,0,1
morn,0,1,0
given sexual remark,0,0,0
tri touch breast,0,0,1
hyatt mohammadpur subway not safe,0,0,1
age yearstyp harassmentstaringogl choglamsar ( leh ) ( day time ) stalk leh main bazaar ( day time ) catcallswhistl hous coloni leh ( day time ) sexual invit yes ( even ),0,1,0
jhangirpuri metro station saw boy take pictur girl without permiss,1,0,0
saw group boy start follow old ladi worn lot ornament show knife snatch ornament ran away,0,0,0
bus often,0,0,1
notic old man follow near hous,0,0,0
walk convent junction guy sudden walk pass said quoti wan na fuck youquot sing song manner subsequ walk past without stop occur almost year back approxim pm date time given not exact,0,0,0
way colleg boy back comment teas throw stone shout laugh not stop activ,1,0,0
sinc new citi near idea rout auto driver misl wrong place,0,0,0
man happen pass girl walk area deliber touch hand pass close,0,0,1
iam alway haraas father,0,0,0
harass,0,0,1
comment,1,0,0
bus go toward sec,1,0,1
comment ogl touch kashmer gate metro station even,1,1,1
stalk,0,0,1
tri get auto post shop guy click pictur,0,0,0
continu stare tri come close touch,1,0,1
touch happen dure day time market alway crowd identifi grabber quothard tellquot made purpos not knew never accid,0,0,1
disturb boy comment,1,0,0
overcrowd buse chennai male tri grab embarrass stuff femal put normal day day thing due languag constraint pretend understand confront one stand upthi public transport buse chennai,1,1,1
physic abus insid public vehicl,1,0,1
man came upfront hug tight felt breast,0,0,1
go catch train way home saw men smile toward one whistl,0,0,0
touch stalk come back,0,0,1
group boy whistl said bad word,1,0,0
day ago walk alon road guy start lookin sing song whistl,1,0,0
stalk boy regular use go school morn wait bus stop,0,1,0
travel train thane nerul guy start touch tri come intim zone start touch person part tri stop left,0,0,1
guy use bad comment gestur friend return colleg,1,0,0
happen walk road one sunday afternoon peopl roadal sudden two guy mask came bike snatch chain ladi walk kms away ladi hurt taken hospit,0,0,0
bus old man stand behind tri rub,1,1,1
mob thug drugdeal stalk women catcal bypass polic doe nothingfor polic ever read guy call mehdi tall scar forehead friend drug dealer,0,0,0
boy wistl comment go hous,0,0,0
go home offic alreadi late even took taxith taxi driver get eye felt veri much offend,0,1,0
happen bus come colleg,1,0,0
cbd sunday two friend one biraci descent near everi man pass us say someth like hi sister go look beauti especi direct friend also felt uncomfort touchyfe peopl toward especi maasai market cbd use stare never felt uncomfort pass near everi singl man street reliev thank get cab go home felt veri unsaf know friend,1,0,0
wait tempoo friend one man came stop bike open pant chain jacket show privat part veri afraid move place later,0,0,0
shock middl age man grope crowd train somehow shout left,0,0,1
gave seat ladi becaus guy behind rub,0,0,1
visit uncl dure holiday uncl one day remov cloth couch ask samesh wa scare ran away,0,0,0
bus stand boy stare young ladi made feel awkward,0,1,0
friend travel nepal yatayat bus one man put hand friend lap normal,0,0,1
gone mother dairi nearbi guy start follow realli scare kept pretend not notic,0,0,0
travel bus boy comment took pictur,1,0,0
happen outsid ramja colleg afternoona guy tri copi friend tell someth made face well,1,1,0
misbehav,1,0,1
man show porn clip school girl afterward turn sex without girl permiss,0,0,0
friend touch inappropri place cousin gone visit,0,0,1
wait friend near colleg,0,0,1
harass even,0,0,0
boyfriend slap public space tri forc one came help,0,0,1
guy came snatch aunti chain dure afternoon hour report polic,0,0,0
never harass befor experienc sever harass case someon knowa friend mine harass street rough guysthi harass slap friend good reason veri angri not want take violenc hand,0,0,0
men whistl go home,0,0,0
onc bandra station man kept tri get close onc succeed touch chest,0,0,1
realli bad,1,0,0
group young boy pass comment,1,0,0
comment shopkeep,1,0,0
lot girl pg sector guy white scooti might b activa spec tri touch n comment girl time incid happend,0,0,1
touch month back,0,0,1
happen school right insid class lectur room pm read alon hall tall man dark skin guy enter came toward demand direct process touch breast befor knew press ground romanc ( carasss ) hip,0,0,0
incid took place eveningi stand friend group coupl boy teas us,0,0,1
walk road man walk past sudden squeez nippl never felt violat disgust life apart daili sexual harass whistl catcal touch / squeez backsid,1,1,1
go shop girl also come toward shop left shop saw stand old man convers heard man tri go wish hear late rape,0,0,0
friend troubl guy kept misbehav sexual way make veri uncomfort happen sanjay camp gali,0,1,0
go toward home group boy stand one side metro station comment everi girl pass,1,0,0
iv e experienc bad facial express shown toward,1,1,0
around day back go tuition madangir c block peopl pass comment meit happen dure even,1,0,0
one day compound strang men came claim knew father welcom hous next thing nake,0,0,0
girl sit boy tri touch gave express slap,0,1,1
girl stand bus station guy tri get close touch even pass remark girl rebuk guy stop behav way happen dure afternoon,1,0,1
went eye hospit younger brother way hospit peopl teas us sing teas,1,0,0
sexual molest hous,0,0,0
friend gone colleg festwhil program go various guy came surround group danc floorthey start pass comment grope touch,0,0,1
conductor bus group girl travel follow us till krishna templ patan,1,0,0
follw home guy bike,0,0,0
old man misbehav hospit touch breast scare anyth,0,0,1
harass even,1,0,1
comment pass foreign tourist visit select citywalk mall,1,1,0
titan showroom look watch collect soon notic staff member stare also start stare time stop stare went els,0,1,0
guy bike snatch aunt chain walk home work,0,0,0
dure afternoon friend stare continu,0,1,0
dure afternoon riskshaw relat two bike came snatch gold chain,0,0,0
happen friend come back school certain boy approach said quotbabi quot said finea minut later boy start touch,0,1,0
travel train man tri touch girl,0,0,1
go nearbi shop purchas item two men street start pass cheap comment gave dirti looksit happen somewher april,1,1,0
roam gip noida comment upon,1,0,0
one friend beaten belt uncl not happi last exam mark,0,0,0
steal comment grope,1,0,1
follow malabar hill marin drive,0,0,0
guy continu stare dure afternoon hour,0,1,0
poor street light,0,0,0
boy near home give facial express,0,1,0
man bike indec expos front girlfriendit happen morningi not report policei beat,0,0,0
particip crisscross citi road dure late night hour found mani stretch road includ arteri road like j roadat mani road streetlight either dysfunct dim fail illumin road pavement poor lit mumbaibangalor bypass infam road mishap,0,0,0
auto riksha driver amp friend abus girl street,1,1,0
one day went shop store one unknown girl ask cell number,0,0,0
way home local guy teas tea shop,1,0,0
wait bus bus stop man came near said spend night even follow minut,1,0,0
touch sensibl area bodi,0,1,1
boy taxi adjac mine turn start pass veri lewd comment laugh,0,0,0
go grant road bus bus stop felt one touch felt scare left bus fast could,0,0,1
happen dtc bus man came sat next kept come close constant kept push hand away kept come close say veri crowd side get push,0,0,1
touch also facial express,0,0,1
conductor stare often inquir,0,0,0
purs gold jewelri snatch,0,0,0
come back class man scooti came besid show peni look toward move away scooti open zip show erect peni,0,0,0
comment catcal whistl touch,1,1,1
old ladi pull bush man went eas grope breast bit also rescu shopkeep nearbi peopl toilet n hous,0,0,1
man tri grope someon came min ran fast could,0,0,1
comment pass trimurti seva sangh chawl,1,0,0
drunk peopl pass comment friend ( girl ) walk tri approach,1,0,0
harass,1,0,0
guy enjoy pass comment women look autorickshaw even,1,0,0
went drop applic told go boss hous grab serious start harass final ran escap,0,0,0
walk go home school came acroo em sit road state lokk call talkingof lookedi didnt like,1,0,0
one girl live haider pur villag discomfort man constant kept stare look veri cheap way,0,1,0
catcal comment ogl outsid pragati maidan metro station even,1,1,0
friend come school start rain run find place shelter found old man told us go lie,0,0,0
girl friend deni job becaus refus secuum boss sexual demand,0,0,0
work factori bengaluru rural area street lead factori work street light becom extrem difficult go work night shift sometim even robberi also take place stranger one day group peopl came onto muggedthey took phone wallet,0,0,0
boy stranger friend touch friend use bad wordsit happen even,0,0,1
girl studi grade sexual assault teacher class govern school jhunkhunwa rautahat,0,0,0
travel offic home late one night journalist two men start follow ride bike follow till reach home comment indec manner,1,0,0
boy stalk week stretch scare anyth,0,0,0
car constant follow made kiss face,0,1,0
group boy car behind us tri make video us walk,0,0,0
happen even,0,1,0
year old girl taken room man threaten knife taken isol area late night rape man repeat god grace found way home quarter befor pass,0,1,0
gangrap victim uttar pradesh ambedkar nagar violat investig offic ( io ) probe case alleg also rape inspector charg polic station lodg complaint,0,0,0
ride scooti three boy three differ bike kind teas tri come near,1,1,0
survey carri safec ( red dot foundat ) along safeti audit street market mumbai,1,1,1
morn guy tri snatch phone,0,0,0
one guy repeat call harass told manytim not call follow listen,0,0,0
per guess man near push left corner tri touch,0,0,1
go pick littl cousin school man roast maiz catcal whistl look call smill not confront sinc hurri ignor walk away,0,1,0
return school boy comment tri touch,1,0,1
come back tution two friend n two guy came whistl back,0,0,0
walk along olymp road pass boy wer sit door sell cd higher ruturn watch bys sat lookig comment girl pass among girl comment,1,1,0
realli terribl,1,1,1
friend went hangout mateo men stalk us auto stand till entranc cafe,0,0,0
victim small kid play outdoor coloni gate unguard thus unrestrict trespass come comment took place around pm even,1,0,1
happen near preet vihar metro stationm friend walk three boy bike came veri close hit us back,1,0,1
good friend mine follow metro station pg malkaganj guy riksha not confront scare,0,0,0
area realli veri bad monitor area percent rural populationthes crime veri often area,0,0,0
thief forc snatch mine chain ring lone place,0,0,0
th std dure recess time one school boy touch near stomach complain princip took strict action,0,0,1
vo bandi vaha k flyover k nich se ja rahi thi evng tym pe n tabhi phich se kisi band ne us pe attack kiya n vo zor se chilayi luckili vaha street k kuch log ne sunna n vo ane lage tab tak vo ja chuka tha,0,0,1
happen bus near munirka guy state comment dress code,1,0,0
one friend ask particip poem competit day competit went particip touch unnecessarili teacher,0,0,1
white collar men pass grope chest walk away,0,0,1
guy comment whistl girl dress shortsit happen even,1,0,0
yrs old cousin sleep room yrs old woke saw touch everywher time child not understand,0,0,1
comment amp ogling/faci express dtc bus ( badarpur ) th septemb,1,1,0
comment bodi night,1,0,0
crowd bus saw man pinch unknown ladi,0,0,1
girl way walk guy teas whistl happen dure even,0,0,0
friend mine ask accompani hous reach close door threaten kill scream rape,0,0,0
friend mine rape boyfriend best friend becaus went advic problem boyfriendth incid occur room fought hour could fight,0,1,0
walk male friend knew sinc long time back touch privat part told not listen came home leav,0,0,1
man follow whistl said bad word,1,0,0
realli bad,1,0,0
public transport delhi not safe men ogl grope comment,0,1,1
walk road heard one call ignor,0,0,0
survey carri safec ( red dot foundat ) along safec audit street market mumbai,1,0,0
wallet stolen,0,0,0
go colleg local bus man sit besid tri touch breast,0,1,1
harass,0,0,0
sing loud cheap song man found give sexual invit us mid night,1,0,1
happen dure trade fair eveninga guy pinch meit realli embarrassingit veri crowd place,0,0,1
touch privat part intent crowd bus,0,0,1
cross road teas follow man also tri touch,1,0,1
friend sister come offic said veri rough look man sit next woman masturb bus bus light time man touch women said touch fear voic,0,0,1
reckless drive,0,0,0
actual not big matter us becaus ladi al way feel abus simpli travel public vehicl like touch push regular problem,0,1,1
colleg student one boy approach propos ignor start send sms give blank call cell phone went home came surpris see stand outsid build ignor follow colleg also past day realli scare throw acid pleas help tell thing parent want get unnecessari hassl,0,0,1
poor street light work red light,0,0,0
one boy invit sex fb,0,0,0
get back home work group men start pass horribl comment charact cloth not know react marri woman said anyth peopl societi would blame happen near kali mata mandir,1,0,0
repeat rape someon meant trust,0,0,1
someon know ride bicycl sudden bike pass along touch inappriopr amp sat bike drove befor could anyth,0,0,1
ogl touch grope,0,1,1
age yearstyp harassmentstalk leh market return home school ( even ) catcal chocho lay ( hey doll ) ( day time ) comment moti ( fat ) balu ( small ) ( day timeeven ) touch brother wed ( night ),1,0,1
happen everyday,0,1,0
unknown man seat next group girl row f theatr nbr watch newli releas minion movi short interv man took pant flash peni innoc girl sat defec right horrifi sicken complain cinema author took man task,0,0,0
chain snatch near town hall,0,0,0
comment dhaula kuan bus stop even,1,0,0
catcalls/whistl comment ogling/faci express take pictur touching/grop sexual invit,1,1,1
whistl stare happen dure even pm,0,1,0
happen afternoon,1,0,0
comment,1,0,0
comment ogl catcal night,1,1,0
woman taken away hous group boy taken unknown destin gang rape,0,0,0
felt veri uncomfort boy way school usual comment whistl,1,0,0
happen grade earli morn around bid mother left school near home year old man face toward bush got near start make wire sound glanc short view saw hold peni shake afraid call mom told help go school,0,0,0
dure night go back home two guy drunk came toward start touch help male friend,1,0,1
guy touch friend leg wait,0,0,1
go shop man chew khat got hold hand forc tri grab fortun woman warn,0,0,1
ogl,0,1,0
happen quit number time walk friend even boy bike whistl us,1,0,0
area govandi toward deonar municip coloni ( west ) near tenement build evacu veri dark dure night time veri unsaf women/girl come home offic even also street govandi staion ( west ) toward tata nagar alway occupi hawker becaus everybodi feel unsaf walk road auto rickshaw drive veri rash amp peopl front polic man nobodi bother safeti area,0,0,0
boy follow us make loud nois disturb us even follow us,0,0,0
go school boy follow talk rubbish,0,0,0
year old colleg go girl live sion veri difficult scari affair almost everyday anytim day danger place exact outsid station underground bridg ( subway ) time light dark underground besid exit underground bridg walk toward shivar guest hous alway huge group men includ shop keeper sit along wholesal cloth shop go toward bmc quater not onli make lewd remark also make sexual remark sometim even attempt unwant contact wors case wit action ever taken not fix group alway gang entir area special night lane toward laxmi baug bmc quarter lot mini ladder gang sit soon sun set number increas time pass becom wors night,1,1,1
bangalor central cross street get bus pm old drunk man stare pay attent busi street soon cross ran grab butt hand behind stood front distanc shock yes weak confront drunk scream shout help told men stand close bus conductor insid bus beat man misbehav one came forward shame part entir incid nobodi came forward help,0,0,1
peopl bike tri come close friend pass harsh commentsit happen even,1,0,1
relat guy year old talk sudden grope made sit lap know later told mother told wrong ani thing explain harass stuff,0,0,1
guy threw hot water say wear short cloth scare could not believ happen,1,0,0
year ago around one night walk bus stop toward home one dingi lanesa walk look behind saw drunk fellow whistl call namesi walk fast could board taxi reach homei shatter devast want beat alon,1,0,0
one friend tri touch invit sex use harass go morn coach class even school premis,0,0,1
man start comment make face girl,1,0,0
peopl bike ( bike ) saw friend said someth realli bad shout comment usi dont know place well not wish go bata shop cinema dirti pictur area,1,0,0
realli bad,1,1,0
group boy comment start teas us way shop center not gave ani attent catch way,1,0,0
young girl enter bus conductor make attempt touch waist comment quot god time make youquotquotlet go placequot,1,0,0
one month ago return frm home saw group boy take pictur forc n girl sout,0,0,0
comment whistl,1,0,0
boy coment coleg girl pm,1,0,0
got random messag facebook unknown person,0,1,0
catcal comment,1,0,0
dure even hour subject guy comment facial express stare catcal,1,1,0
boy comment behind group boy togeth comment,1,0,0
go market chain snatch two biker,0,0,0
friend stand two men start stare us make us uncomfort not possibl us stand posit,0,1,0
citi joy turn horror spot even area like jadavour world famous jadavpur univers stall narrat event one last year journalist fiance stalk assault bike gang near sulekha bazar around km jadavpur polic station tuesday nightalso earlier two drunken youth molest woman beat husband tri help garfa road citi polic seem struggl check grow menac eveteas molest area event add like chain snatch morn walker open fire near baghajatinreag park areathough polic increas vigil yet event crop like rape teenag move cab kolkata add woe polit parti play earn vote bank fro themselv,0,0,1
touch grope,0,0,0
went rajasthan trip went desert boy tri take pictur girl,0,1,1
went school day enter class becaus afraid driven class not pay school feei sat behind school classroom cryingh told follow take homeh trick follow bush say short cuti idea mindh caress realis happen scream ran away,0,0,1
littl girl lull boy home use sweetwhen succeed lull hous rape girl kill prepar bodi meat sold,0,0,0
travel dtc buse face harass almost everi daypeopl tri touch pass comment bodi stand,1,1,1
way home event male friend decid take general compart instead ladi ( big mistak ) much crowd ok till get felt least three handsquotaccidentallyquot brush butt,0,1,1
go back home market two boy bike start follow,1,0,0
varieti demean behaviour face walk satya matreyi even,1,1,0
harass metro feeder,0,0,1
girl move road guy harass,1,1,0
go relat place afternoon man start follow hum song comment cloth start run went street lose,1,0,0
return coach auto driver stalk till home,1,1,0
poor light walk chan turn war catcal well,0,0,0
harass,1,1,1
walk guy pass comment,1,0,0
usual shop worker owner keep comment incid happen night,1,0,0
happen colaba walk toward taj palac meet friend wear short spaghettistrap top ( not cloth relev social condit make think whi singl ) man stop ask help phone frozen told take batteri walk taj approxim hour later cafe mondegar becaus need use washroom reach washroom man exit male cubicl said hello rememb im phone guy gave pissoff/getlost look proceed walk washroom held door said want talk push away walk use washroom could hear call friend say shes came stand began ask add facebook realli angri told not interest,1,0,0
niec sexual assault sent errand cloth torn harass rough handl tri escap comment hip figur would sleep,0,0,1
harass,0,0,1
go aunt home around pm guy start stalk pass lewd comment took auto left immedi,1,0,0
happen motil nehru colleg,1,1,0
go colleg one old man dad age whistl,0,0,0
way purchas book bus wallet bag depart bus stand got know wallet bag,0,0,0
stalk leh market,0,0,0
boy group teas use bad word,0,0,0
harass morn even,1,0,0
age yearstyp harassmentcatcal jammu ( day timeeven ),0,0,0
harass even,1,1,0
boy ratnapark make facial express push,0,1,1
time deepawali brother mine trust tri harass touch n lock room not let go felt veri embarass shi n unsaf,0,0,1
onc whilst walk road almost dark alon sudden guy came press breast shock could not retali instant,0,0,1
happen th feb went visit friendon way back around pm met group boy smokingi wait taxith place quiet peopl gone bedon walk start speak noseh shut mouth carri uncomplet buildingthey remov cloth start rape turn turn,0,1,0
incid took place girl live near place backsid toilet complex went boyfriend hous wherein rape boyfriend friendsit happen night around month back,0,0,0
daili im get phone call number ask quothowmuch hour quotpleas someth stop nonsens,1,0,0
go colleg morn pass alon area ( kind jungl area ) saw man masturb saw start masturb activ,0,0,0
male studi grade got comment whistl stalk,1,0,0
walk certain man tap buttock question start insult,0,0,1
pass two men one remov privat part urin side road without care pass,0,0,0
onc got fight stranger becaus catcal rude start use foul word,0,0,0
saw two boy attack two girl around corner butt,0,0,1
incid took place afternoon around pmi metro red line inderlok comment upon,1,1,1
harass,1,0,0
man around year old comment pass store,1,0,0
walk station sudden guy run hand back,0,0,1
guy look touch privat part sunday market masturb gross,0,0,0
rape teacher,1,1,1
accus snatch away victim jewelleri also made indec comment,1,0,0
go back hostel /pg came across guy comment quot chinkyquot quotmaalquot even stop stare not complain polic incid not serious trust servic,1,1,0
man kept follow wednesday market buy veget market nuisanc occurr usual not know,0,0,0
hi team yesterday survey tcs powai near heritag gardenwhat found observ area cover tree area near garden amp mountain squar look like unsaf coz area garden look open wide clear see ani one side,0,0,0
deliber touch claim becaus crowd bus bus near arjun path,0,0,1
walk street group boy follow well comment vulgar word,1,0,0
group guy click pictur make video girl wear dress dure afternoon hour,0,0,0
yhan par kuch ladk khde rhte han ladkiyo ko dekh kar heran kart hae,1,0,0
ladi neightbour taken hous night men rape behind hous threaten not know whether report not,0,0,0
famili member harrass multipl time,0,0,0
work cook bungalow near hous employ came kitchen touch breast told go away kept abus,0,0,1
dure morn travel bus guy squeez ass,0,0,1
rain heavili vehicl bus station person car stop stage driver told two girl board car taken karura forest rape,0,0,0
friend roam outsid main road night ( walk ) like could see rickshaw wallah saw us comment us,1,0,0
man first comment touched/grop,1,0,1
travel two daughter bus not mani peopl bus man came stood next elder daughter start rub arm got push,0,0,1
guy got metro kirti nagar sat besid sudden start sing song look toward friend kept look reason talk us ask next metro station name etc call name befor get metro comment cloth also kept bump us intent,1,1,0
friend die hiv/aid rape,0,0,0
shopkeep took girl photo saw confront,0,0,0
man first comment tri touch,1,0,1
go friend hous boy play foot ball ball came near came boy near get ball tri hug shout,0,0,1
area get photocopi around pm bunch guy kept whistl n make obscen gestur,1,1,0
man make weird kiss sound road,0,0,0
boy comment,1,0,0
follow us home market way make comment,1,0,0
way baba dogo clinic peopl sit along road hawk item stare peopl get even surpris leg walk quick becaus becom week laugh not abl walk,1,1,0
wait metro guy look start comment dress look,1,0,0
incid took place eveningtwo biker came bike snatch rs old ladi gun point,0,0,0
foot bridg trap sometim know becaus wit indec exposur worst bit incid happen less ten second walk across foot bridg near kasturabai mrts station sunday even ( pm ) decent look man call madam soon turn head toward voic expos privat partand next second place walk casual like noth happen stood frozen ten second befor began compos myselfalway scan foot bridg befor cross,0,0,0
incid took place around pm metro stationmi friend usual get harass daili basi stationi would like safe citi take initi stop thisit veri unsaf ( pleas ),1,1,1
worst experi onc travel ponda panjim bus name jyoti ( ga ) bus conductor came know half ticket passeng start say bad thing use veri bad word,1,0,0
wit incid guy comment girl girl stop start laugh happen dure afternoon hour,1,0,0
hi im misbah incid happen year ago left coach class vile parl travel bandra train pm stand parl station wait train platform wasnt crowd men stare pass comment top jean train arriv men gent compart hoot whistl sang bollywood item song harass meit disturb ladi stand next noth baffl one experi rememb life,1,0,0
lack proper light area made unsaf walk metro station night,0,0,0
last year may travel gorakhpur roadway bus mom appear examin mom sit seat chair seat adjac vacant faizabad middl age man aboard bus sat next everyth fine realiz someth thought may due bus drive caus jerk reason happen sure man sit next touch breast inappropri sit fold hand may not seen instant ask leav sit somewher els react know happen made leav seat,0,0,1
